"itemtypeId","timeId","count"
1,0,69976
1,2,503
1,5,2142
1,6,6292
1,8,30376
1,15,36852
1,25,11004
1,31,20764
1,33,179
1,35,119
1,37,8449
1,39,310
1,41,289
1,43,131002
1,48,76762
1,49,60
1,50,215
1,52,25102
1,53,10004
1,54,9
1,55,73
1,56,132596
1,57,81
1,58,43
1,59,6
1,60,215963
1,61,1
1,62,29
1,63,15043
1,64,61
1,65,9449
1,66,122
1,67,116
1,68,13524
1,69,1049
1,70,24984
1,71,6193
1,72,11704
1,73,7960
1,74,12668
1,75,12881
1,76,24480
1,77,21679
1,78,57325
1,79,193385
1,80,139631
1,81,117549
1,82,155938
1,83,210874
1,84,106226
1,85,128418
1,86,195076
1,87,197947
1,88,171664
1,89,303417
1,90,188083
1,91,88579
2,48,138
2,49,23
2,50,4
2,58,3
2,59,4
2,60,1
2,61,2
2,66,1
2,67,1
2,68,3
2,69,8
2,70,12
2,71,2065
2,72,459
2,73,42
2,74,14
2,75,43
2,76,326
2,77,528
2,78,6700
2,79,33969
2,80,50112
2,81,92699
2,82,94685
2,83,159242
2,84,148249
2,85,175559
2,86,158449
2,87,192317
2,88,152127
2,89,192716
2,90,215926
2,91,138809
3,0,25429
3,31,3452
3,43,16845
3,55,3
3,56,9
3,57,18
3,60,4084
3,68,9889
3,77,10
3,78,58
3,79,1044
3,80,3
3,81,5
3,82,2
3,83,7
3,87,8
3,88,2
3,90,3
4,68,1
4,69,2
4,70,5
4,71,8
4,72,6
4,73,4
4,74,12
4,75,16
4,76,18
4,77,24
4,78,28
4,79,60
4,80,38
4,81,63
4,82,83
4,83,809
4,84,79
4,85,67
4,86,256
4,87,262
4,88,113
4,89,5767
4,90,246070
4,91,10711
5,0,20
5,31,2
5,43,50
5,49,1
5,50,6
5,53,1
5,58,62
5,59,58
5,60,2243
5,61,568
5,62,1052
5,63,508
5,64,650
5,65,354
5,66,736
5,67,556
5,68,1058
5,69,444
5,70,1630
5,71,2716
5,72,2569
5,73,2358
5,74,3533
5,75,2906
5,76,5197
5,77,3574
5,78,11515
5,79,10309
5,80,9300
5,81,5605
5,82,10029
5,83,17115
5,84,10380
5,85,14093
5,86,14536
5,87,13057
5,88,13332
5,89,14026
5,90,7399
5,91,2516
6,60,56
6,61,622
6,62,470
6,63,356
6,64,385
6,65,124
6,66,532
6,67,1297
6,68,301
6,69,5
6,70,14
6,71,63
6,72,21
6,73,14
6,74,25
6,75,33
6,76,73
6,77,157
6,78,169
6,79,325
6,80,180
6,81,124
6,82,156
6,83,110
6,84,162
6,85,119
6,86,114
6,87,19
6,88,23
6,89,82
6,90,36
6,91,17
